epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,883.556,1.66075,2.25518,1.47012,0.66475,0.74783,0.74239,0.52971,0.97829,1.24395,1.04132,0.00999276,0.00333092,0.00999276,0.00333092,0.00999276,0.00333092,0.00999276,0.00333092
2,1656.46,1.64622,1.52805,1.41454,0.69436,0.73532,0.73742,0.45955,1.27429,1.3061,1.23623,0.0195969,0.0065323,0.0195969,0.0065323,0.0195969,0.0065323,0.0195969,0.0065323
3,2428.45,1.73427,1.69003,1.4804,0.648,0.75224,0.71816,0.4719,1.15733,1.45994,1.16235,0.028805,0.00960168,0.028805,0.00960168,0.028805,0.00960168,0.028805,0.00960168
4,3088.91,1.72678,1.66405,1.51001,0.70945,0.82156,0.77704,0.53372,1.06697,1.19091,1.15961,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
5,3614.33,1.63908,1.43455,1.46189,0.74193,0.81103,0.79329,0.5683,0.98307,1.03896,1.11162,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
6,4337.85,1.59507,1.31124,1.42778,0.7451,0.83742,0.80498,0.59283,0.94839,0.98886,1.06802,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
7,5017.52,1.53318,1.20971,1.37861,0.73237,0.86263,0.82762,0.60539,0.93906,0.89361,1.06053,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
8,5755.25,1.47806,1.14877,1.34614,0.72026,0.88076,0.80423,0.58829,0.93542,0.90252,1.05369,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
9,6480.62,1.43963,1.10188,1.31908,0.75271,0.90179,0.84039,0.64024,0.86159,0.81826,1.0224,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
